bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
9050002,9100001,2083,2081,2,0,0.0009601536245799327,3116,8,2,0,239,79,64
9100002,9150001,2084,2077,7,0,0.0033589251439539347,3116,8,6,1,239,89,64
9150002,9200001,2083,2079,4,0,0.0019203072491598655,3129,9,4,0,251,79,64
9200002,9250001,2083,2080,3,0,0.0014402304368698992,3140,8,2,1,253,77,64
9250002,9300001,2084,2079,5,0,0.0023992322456813818,3121,8,4,1,253,85,64
9300002,9350001,2083,2079,4,0,0.0019203072491598655,3120,8,4,0,253,85,64
9350002,9400001,2083,2080,3,0,0.0014402304368698992,3102,8,2,1,253,77,64
9400002,9450001,2084,2083,1,0,0.0004798464491362764,3095,9,1,0,253,89,64
9450002,9500001,2083,2082,1,0,0.00048007681228996637,3083,8,1,0,253,83,64
9500002,9550001,2083,2078,5,0,0.002400384061449832,3120,8,3,2,247,83,64
9550002,9600001,2084,2082,2,0,0.0009596928982725527,3153,8,2,0,247,85,64
9600002,9650001,2083,2079,4,0,0.0019203072491598655,3111,8,4,0,254,79,64
9650002,9700001,2083,2080,3,0,0.0014402304368698992,3092,8,2,1,253,87,64
9700002,9750001,2084,2082,2,0,0.0009596928982725527,3122,8,1,1,253,89,64
9750002,9800001,2083,2080,3,0,0.0014402304368698992,3089,8,3,0,253,85,64
9800002,9850001,2083,2079,4,0,0.0019203072491598655,3090,8,1,1,253,79,64
9850002,9900001,2084,2083,1,0,0.0004798464491362764,3090,8,1,0,254,87,64
9900002,9950001,2083,2081,2,0,0.0009601536245799327,3075,8,1,0,250,87,64
9950002,10000001,2083,2077,6,0,0.0028804608737397984,3059,8,5,0,255,83,64
10000002,10050001,2084,2075,9,0,0.004318618042226488,3130,8,4,3,251,93,64
10050002,10100001,2083,2080,3,0,0.0014402304368698992,3111,8,3,0,251,89,64
10100002,10150001,2083,2079,4,0,0.0019203072491598655,3107,7,3,1,253,79,64
10150002,10200001,2084,2079,5,0,0.0023992322456813818,3043,8,4,1,253,83,64
10200002,10250001,2083,2081,2,0,0.0009601536245799327,3093,8,2,0,253,79,64
10250002,10300001,2083,2076,7,0,0.003360537686029765,3115,8,4,2,1067,79,64
10300002,10350001,2084,2081,3,0,0.0014395393474088292,3084,8,3,0,253,80,64
10350002,10400001,2083,2083,0,0,0.0,3120,7,0,0,253,89,8
10400002,10450001,2083,2081,2,0,0.0009601536245799327,3104,8,1,1,256,85,64
10450002,10500001,2084,2083,1,0,0.0004798464491362764,3123,8,1,0,253,87,64
10500002,10550001,2083,2082,1,0,0.00048007681228996637,3094,8,1,0,253,77,64
10550002,10600001,2083,2081,2,0,0.0009601536245799327,3092,7,2,0,253,91,64
10600002,10650001,2084,2077,7,0,0.0033589251439539347,3100,8,4,2,253,83,64
10650002,10700001,2083,2078,5,0,0.002400384061449832,3112,8,4,1,253,89,64
10700002,10750001,2083,2081,2,0,0.0009601536245799327,3101,7,2,0,253,85,64
10750002,10800001,2084,2080,4,0,0.0019193857965451055,3046,8,3,0,253,85,64
10800002,10850001,2083,2077,6,0,0.0028804608737397984,3103,7,4,0,250,77,64
10850002,10900001,2083,2083,0,0,0.0,3084,8,0,0,253,85,8
